Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_546.jpg;0;1;0;2.899274;103.6586;89.77472;1.361761;46.58962;-0.001317425
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_613.jpg;0;1;0;2.954483;103.7811;89.9031;1.365957;46.57568;-0.001451614
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_680.jpg;0;1;0;2.995968;103.9471;90.07697;1.366328;46.55881;-0.00146213
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_747.jpg;0;1;0;3.037753;104.0737;90.2095;1.373424;46.54489;-0.001471848
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_813.jpg;0;1;0;3.091932;104.2019;90.34372;1.374991;46.53129;-0.001502914
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_890.jpg;-2.33166;1;0;3.13296;104.3761;90.52497;1.37713;46.39965;-0.0008929849
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_953.jpg;-6.344313;1;0;3.185464;104.5104;90.66106;1.376121;45.8661;0.0009258109
G:\RoboND\IMG\robocam_2018_07_23_18_58_53_994.jpg;-8.442112;1;0;3.199173;104.6024;90.75098;1.365042;45.21034;-0.002698957
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_048.jpg;-12.35971;1;0;3.248106;104.7448;90.883;1.323169;43.75995;359.9213
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_114.jpg;-15;1;0;3.28206;104.8921;91.01039;1.191249;41.7756;359.8039
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_183.jpg;-13.10212;1;0;3.318027;105.0963;91.17248;0.8993353;38.8727;359.5677
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_244.jpg;-15;1;0;3.35408;105.2556;91.28805;0.6203082;36.65631;359.325
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_311.jpg;-15;1;0;3.398858;105.4199;91.39791;0.2866344;34.38708;359.0408
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_376.jpg;-15;1;0;3.431026;105.6468;91.53727;359.8473;31.50407;358.6916
